Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2020,I,Anodorhynchus hyacinthinus,Aves,Psittaciformes,Psittacidae,Anodorhynchus,LK,BE,,1,,live,,B,C
2020,I,Ara glaucogularis,Aves,Psittaciformes,Psittacidae,Ara,TT,US,,1,,live,,P,C
2020,I,Ara macao,Aves,Psittaciformes,Psittacidae,Ara,PK,BE,,2,,live,,P,C
2020,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,GB,PK,,,1,live,,P,C
2020,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,LK,US,,1,,live,,B,C
2020,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,PK,SA,,1,,live,,P,C
2020,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,TR,IQ,XX,,1,live,,P,F
2020,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,TT,BB,,5,,live,,T,C
2020,I,Psittacus erithacus timneh,Aves,Psittaciformes,Psittacidae,Psittacus,TT,CA,,1,,live,,P,C
2020,I,Diceros bicornis,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,ZA,RW,,,14,specimens,,S,W
2020,I,Rhinoceros spp.,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,ML,ZA,,2,,unspecified,,,
2020,I,Geochelone elegans,Reptilia,Testudines,Testudinidae,Geochelone,RU,LK,,,3,live,,T,C
2020,I,Tremarctos ornatus,Mammalia,Carnivora,Ursidae,Tremarctos,GB,CO,,,1,specimens,,S,W
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,AE,BY,,,3.63,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,AM,BY,,,2.2,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,AU,BY,,,10,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,AZ,BY,,,18.64,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,BY,,,6.66,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,IT,BY,,,10,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,JO,BY,,,10.2,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,KG,BY,,,30.1,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,KZ,BY,,,36.4,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,LT,BY,,,10.04,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,MD,BY,,,7.68,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,MO,FR,,2.9,,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,NZ,BY,,,128.7,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,RU,BY,IT,,700,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,RU,BY,,,504,bodies,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,RU,BY,,,255.39,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,RU,BY,,,22000,live,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,RU,BY,,,800,live,,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,SG,BY,,,2.36,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,UA,BY,,,7.38,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,US,BY,,,2,caviar,kg,T,C
2020,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,UZ,BY,,,25.6,caviar,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,AU,MD,,,2.51,caviar,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,DE,MD,,,39.46,caviar,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,IL,MD,,,0.4,caviar,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,JP,MD,,,29.49,caviar,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,MO,FR,,0.9,,caviar,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,UA,MD,,,19,caviar,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,UA,MD,,,11100,meat,kg,T,C
2020,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,US,MD,,,15.76,caviar,kg,T,C
2020,II,Acipenseridae hybrid,Actinopteri,Acipenseriformes,Acipenseridae,,AU,MD,,,4.49,caviar,kg,T,C
2020,II,Acipenseridae hybrid,Actinopteri,Acipenseriformes,Acipenseridae,,DE,MD,,,47.58,caviar,kg,T,C
2020,II,Acipenseridae hybrid,Actinopteri,Acipenseriformes,Acipenseridae,,IL,MD,,,0.4,caviar,kg,T,C
2020,II,Acipenseridae hybrid,Actinopteri,Acipenseriformes,Acipenseridae,,JP,MD,,,27.416,caviar,kg,T,C
2020,II,Acipenseridae hybrid,Actinopteri,Acipenseriformes,Acipenseridae,,RU,MD,,,12000,meat,kg,T,C
2020,II,Acipenseridae hybrid,Actinopteri,Acipenseriformes,Acipenseridae,,UA,MD,,,24750,meat,kg,T,C
2020,II,Acipenseridae hybrid,Actinopteri,Acipenseriformes,Acipenseridae,,US,MD,,,11.79,caviar,kg,T,C
2020,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,AE,BY,,,3.05,caviar,kg,T,C
2020,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,AM,BY,,,5,caviar,kg,T,C
2020,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,AU,MD,,,2.49,caviar,kg,T,C
2020,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,BG,BY,,,20.1,caviar,kg,T,C
2020,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CH,BY,,,7,caviar,kg,T,C
2020,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,DE,MD,,,15.29,caviar,kg,T,C
2020,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,BY,,,0.6,caviar,kg,T,C
2020,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,IT,BY,,,1.71,caviar,kg,T,C
2020,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,JP,MD,,,26.602,caviar,kg,T,C
2020,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,KZ,BY,,,1.8,caviar,kg,T,C
2020,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,LU,BY,,,2.1,caviar,kg,T,C
2020,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,MD,BY,,,1.5,caviar,kg,T,C
2020,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,NZ,BY,,,12.3,caviar,kg,T,C
2020,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,RU,BY,,,62.1,caviar,kg,T,C
2020,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,RU,BY,,,3000,live,kg,T,C
2020,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,SG,BY,,,3,caviar,kg,T,C
2020,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,UA,MD,,,100,caviar,kg,T,C
2020,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,US,MD,,,11.60,caviar,kg,T,C
2020,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,UZ,BY,,,2.25,caviar,kg,T,C
2020,II,Huso huso,Actinopteri,Acipenseriformes,Acipenseridae,Huso,AU,MD,,,0.51,caviar,kg,T,C
2020,II,Huso huso,Actinopteri,Acipenseriformes,Acipenseridae,Huso,DE,MD,,,31.10,caviar,kg,T,C
2020,II,Huso huso,Actinopteri,Acipenseriformes,Acipenseridae,Huso,GB,MD,,,2700,meat,kg,T,C
2020,II,Huso huso,Actinopteri,Acipenseriformes,Acipenseridae,Huso,IL,MD,,,0.2,caviar,kg,T,C
2020,II,Huso huso,Actinopteri,Acipenseriformes,Acipenseridae,Huso,JP,MD,,,27.786,caviar,kg,T,C
2020,II,Huso huso,Actinopteri,Acipenseriformes,Acipenseridae,Huso,MO,FR,IT,0.9,,caviar,kg,T,C
2020,II,Huso huso,Actinopteri,Acipenseriformes,Acipenseridae,Huso,RU,BY,,,10000,live,kg,T,C
2020,II,Huso huso,Actinopteri,Acipenseriformes,Acipenseridae,Huso,UA,MD,,,15.5,caviar,kg,T,C
2020,II,Huso huso,Actinopteri,Acipenseriformes,Acipenseridae,Huso,UA,MD,,,13950,meat,kg,T,C
2020,II,Acropora nana,Anthozoa,Scleractinia,Acroporidae,Acropora,LK,VN,,750,,live,,B,C
2020,II,Acropora spathulata,Anthozoa,Scleractinia,Acroporidae,Acropora,LK,VN,,20,,live,,T,C
2020,II,Uromastyx geyri,Reptilia,Sauria,Agamidae,Uromastyx,GH,ML,,,2400,live,,,
2020,II,Uromastyx geyri,Reptilia,Sauria,Agamidae,Uromastyx,HK,ML,,,100,live,,,
2020,II,Uromastyx geyri,Reptilia,Sauria,Agamidae,Uromastyx,TG,ML,,,2500,live,,,
2020,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,FR,MG,US,,142,leather products (small),,T,W
2020,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,LK,US,,32,,specimens,,M,W
2020,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,CH,US,1,,leather products (small),,T,C
2020,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,CH,US,6,,leather products (small),,T,W
2020,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,FR,US,50,,leather products (small),,T,W
2020,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,IT,US,1,,leather products (large),,T,W
2020,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,IT,US,136,,leather products (small),,T,W
2020,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,RS,AT,US,5,,leather products (small),,T,W
2020,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,RS,CH,US,22,,leather products (small),,T,W
2020,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,RS,US,,19,,specimens,,T,W
2020,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,AZ,BY,,,3,live,,Z,C
2020,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,MO,IT,VE,132,,leather products (small),,T,W
2020,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,AE,CO,CO,,32,leather products (small),,T,C
2020,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,DE,CO,,,1000,skins,,T,C
2020,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,FR,MG,CO,,30,leather products (small),,T,C
2020,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,GB,CO,CO,,133,leather products (small),,T,C
2020,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,JP,CO,CO,,10,leather products (small),,T,C
2020,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,KR,CO,CO,,15,leather products (small),,T,C
2020,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,KR,CO,,,5645,skins,,T,C
2020,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,KW,CO,CO,,15,leather products (small),,T,C
2020,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,MG,FR,CO,18,,leather products (small),,T,C
2020,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,MG,FR,CO,16,,skin pieces,,T,C
2020,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,MO,IT,CO,5,,leather products (small),,T,C
2020,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,MX,CO,,,34103,skins,,T,C
2020,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,US,CO,CO,,784,leather products (small),,T,C
2020,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,US,CO,,,392,leather products (small),,T,C
2020,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,US,CO,,,600,skins,,T,C
2020,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,US,CO,,,600,tails,,T,C
2020,II,Caiman crocodilus yacare,Reptilia,Crocodylia,Alligatoridae,Caiman,MO,IT,BO,317,,leather products (small),,T,W
2020,II,Operculicarya decaryi,,Sapindales,Anacardiaceae,Operculicarya,KR,MG,,,2,live,,T,A
2020,II,Operculicarya pachypus,,Sapindales,Anacardiaceae,Operculicarya,HK,MG,,,1,live,,T,A
2020,II,Operculicarya pachypus,,Sapindales,Anacardiaceae,Operculicarya,JP,MG,,,180,live,,T,A
2020,II,Operculicarya pachypus,,Sapindales,Anacardiaceae,Operculicarya,TW,MG,,,8,live,,T,A
2020,II,Pachypodium lamerei,,Gentianales,Apocynaceae,Pachypodium,JP,MG,,,5,live,,T,A
2020,II,Pachypodium rosulatum,,Gentianales,Apocynaceae,Pachypodium,HK,MG,,,30,live,,T,A
2020,II,Pachypodium rosulatum,,Gentianales,Apocynaceae,Pachypodium,JP,MG,,,80,live,,T,A
2020,II,Pachypodium rosulatum,,Gentianales,Apocynaceae,Pachypodium,TW,MG,,,10,live,,T,A
2020,II,Pachypodium rutenbergianum,,Gentianales,Apocynaceae,Pachypodium,HK,MG,,,40,live,,T,A
2020,II,Boa constrictor,Reptilia,Serpentes,Boidae,Boa,AZ,BY,,,5,live,,Z,C
2020,II,Boa constrictor,Reptilia,Serpentes,Boidae,Boa,LB,BY,,,100,live,,T,C
2020,II,Boa constrictor,Reptilia,Serpentes,Boidae,Boa,RU,BY,,,6,live,,B,C
2020,II,Boa constrictor,Reptilia,Serpentes,Boidae,Boa,RU,BY,,,10,live,,Q,C
2020,II,Boa constrictor,Reptilia,Serpentes,Boidae,Boa,RU,BY,,,18,live,,T,C
2020,II,Boa constrictor,Reptilia,Serpentes,Boidae,Boa,US,CO,,,700,live,,T,C
2020,II,Calabaria reinhardtii,Reptilia,Serpentes,Boidae,Calabaria,CA,CM,,,8,live,,T,W
2020,II,Calabaria reinhardtii,Reptilia,Serpentes,Boidae,Calabaria,VN,CM,,,30,live,,T,W
2020,II,Epicrates cenchria,Reptilia,Serpentes,Boidae,Epicrates,LB,BY,,,10,live,,T,C
2020,II,Epicrates cenchria,Reptilia,Serpentes,Boidae,Epicrates,RU,BY,,,5,live,,B,C
2020,II,Cephalophus dorsalis,Mammalia,Artiodactyla,Bovidae,Cephalophus,US,CM,,,2,trophies,,H,W
2020,II,Cephalophus dorsalis,Mammalia,Artiodactyla,Bovidae,Cephalophus,ZA,CM,,,1,trophies,,H,W
2020,II,Cephalophus silvicultor,Mammalia,Artiodactyla,Bovidae,Cephalophus,RU,CM,,,1,trophies,,H,W
2020,II,Damaliscus pygargus,Mammalia,Artiodactyla,Bovidae,Damaliscus,ML,ZA,,60,,unspecified,,,
2020,II,Ovis cycloceros cycloceros,Mammalia,Artiodactyla,Bovidae,Ovis,AT,PK,,,1,trophies,,H,W
2020,II,Ovis cycloceros cycloceros,Mammalia,Artiodactyla,Bovidae,Ovis,DE,PK,,,1,trophies,,H,W
2020,II,Ovis cycloceros cycloceros,Mammalia,Artiodactyla,Bovidae,Ovis,SE,PK,,,1,trophies,,H,W
2020,II,Ovis cycloceros cycloceros,Mammalia,Artiodactyla,Bovidae,Ovis,US,PK,,,3,trophies,,H,W
2020,II,Ovis punjabiensis,Mammalia,Artiodactyla,Bovidae,Ovis,AT,PK,,,1,trophies,,H,W
2020,II,Ovis punjabiensis,Mammalia,Artiodactyla,Bovidae,Ovis,DE,PK,,,1,trophies,,H,W
2020,II,Ovis punjabiensis,Mammalia,Artiodactyla,Bovidae,Ovis,ES,PK,,,3,trophies,,H,W
2020,II,Ovis punjabiensis,Mammalia,Artiodactyla,Bovidae,Ovis,IT,PK,,,2,trophies,,H,W
2020,II,Ovis punjabiensis,Mammalia,Artiodactyla,Bovidae,Ovis,RU,PK,,,3,trophies,,H,W
2020,II,Ovis punjabiensis,Mammalia,Artiodactyla,Bovidae,Ovis,US,PK,,,5,trophies,,H,W
2020,II,Philantomba monticola,Mammalia,Artiodactyla,Bovidae,Philantomba,ES,CM,,,1,trophies,,H,W
2020,II,Philantomba monticola,Mammalia,Artiodactyla,Bovidae,Philantomba,MX,CM,,,1,trophies,,H,W
2020,II,Philantomba monticola,Mammalia,Artiodactyla,Bovidae,Philantomba,RU,CM,,,1,skulls,,H,W
2020,II,Philantomba monticola,Mammalia,Artiodactyla,Bovidae,Philantomba,RU,CM,,,1,trophies,,H,W
2020,II,Philantomba monticola,Mammalia,Artiodactyla,Bovidae,Philantomba,US,CM,,,1,trophies,,H,W
2020,II,Cacatua alba,Aves,Psittaciformes,Cacatuidae,Cacatua,TT,BB,,2,,live,,T,C
2020,II,Cacatua alba,Aves,Psittaciformes,Cacatuidae,Cacatua,UA,MD,UA,,1,live,,Q,C
2020,II,Cacatua ducorpsii,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,LK,,,6,live,,T,C
2020,II,Cacatua galerita,Aves,Psittaciformes,Cacatuidae,Cacatua,LK,PH,,4,,live,,B,C
2020,II,Cacatua ophthalmica,Aves,Psittaciformes,Cacatuidae,Cacatua,LK,PH,,4,,live,,B,C
2020,II,Eolophus roseicapilla,Aves,Psittaciformes,Cacatuidae,Eolophus,LK,PH,,4,,live,,B,C
2020,II,Eolophus roseicapilla,Aves,Psittaciformes,Cacatuidae,Eolophus,TR,IQ,XX,,1,live,,P,F
2020,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,MD,RU,,2,,live,,Z,C
2020,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,PL,BY,,,31,specimens,,S,W
2020,II,Carcharhinus falciformis,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,HK,LK,,,55097.2,fins,kg,T,W
2020,II,Carcharhinus falciformis,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,HK,LK,,,55700,skins,kg,T,W
2020,II,Carcharhinus falciformis,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,IT,CV,,,1,specimens,,S,W
2020,II,Carcharhinus falciformis,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,NZ,LK,,,180,bodies,kg,T,W
2020,II,Carcharhinus falciformis,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,SG,LK,,,2100,fins,kg,T,W
2020,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,HK,LK,,,1500,fins,kg,T,W
2020,II,Euphyllia cristata,Anthozoa,Scleractinia,Caryophylliidae,Euphyllia,LK,AU,,300,,live,,B,C
2020,II,Euphyllia paraancora,Anthozoa,Scleractinia,Caryophylliidae,Euphyllia,LK,AU,,300,,live,,B,C
2020,II,Saimiri sciureus,Mammalia,Primates,Cebidae,Saimiri,MD,RU,,3,,live,,Z,C
2020,II,Cercocebus chrysogaster,Mammalia,Primates,Cercopithecidae,Cercocebus,CD,ZW,,11,,live,,L,I
2020,II,Cercopithecus hamlyni,Mammalia,Primates,Cercopithecidae,Cercopithecus,TG,CD,,,9,live,,T,W
